,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
681,Lester Bowles,Pearson,1897-04-23,1972-12-27,Canada,male,1957,Peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis"""
682,Wole,Soyinka,1934-07-13,,Nigeria,male,1986,Literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"""
683,Sir Arthur,Lewis,1915-01-23,1991-06-15,Saint Lucia,male,1979,Economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries"""
684,Gary,Becker,1930-12-02,2014-05-03,USA,male,1992,Economics,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"""
685,Wolfgang,Ketterle,1957-10-21,,Germany,male,2001,Physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"""
686,Joseph E.,Stiglitz,1943-02-09,,USA,male,2001,Economics,"""for their analyses of markets with asymmetric information"""
688,Wangari,Maathai,1940-04-01,2011-09-25,Kenya,female,2004,Peace,"""for her contribution to sustainable development democracy and peace"""
689,Giulio,Natta,1903-02-26,1979-05-02,Italy,male,1963,Chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers"""
690,Walter,Gilbert,1932-03-21,,USA,male,1980,Chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids"""
691,Sir Charles,Sherrington,1857-11-27,1952-03-04,United Kingdom,male,1932,Medicine,"""for their discoveries regarding the functions of neurons"""
692,Niels K.,Jerne,1911-12-23,1994-10-07,United Kingdom,male,1984,Medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
693,Georges J.F.,Köhler,1946-04-17,1995-03-01,Germany,male,1984,Medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
694,Michael S.,Brown,1941-04-13,,USA,male,1985,Medicine,"""for their discoveries concerning the regulation of cholesterol metabolism"""
695,Susumu,Tonegawa,1939-09-05,,Japan,male,1987,Medicine,"""for his discovery of the genetic principle for generation of antibody diversity"""
696,George P.,Smith,1941-03-10,,USA,male,2018,Chemistry,"""for the phage display of peptides and antibodies"""
697,M. Stanley,Whittingham,1941-12-22,,United Kingdom,male,2019,Chemistry,"""for the development of lithium-ion batteries"""
698,Robert,Wilson,1937-05-16,,USA,male,2020,Economics,"""for improvements to auction theory and inventions of new auction formats"""
699,Giorgio,Parisi,1948-08-04,,Italy,male,2021,Physics,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales"""
700,Benjamin,List,1968-01-11,,Germany,male,2021,Chemistry,"""for the development of asymmetric organocatalysis"""
701,Arthur L.,Schawlow,1921-05-05,1999-04-28,USA,male,1981,Physics,"""for their contribution to the development of laser spectroscopy"""
702,K. Alex,Müller,1927-04-20,,Switzerland,male,1987,Physics,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
703,Jacobus H.,van 't Hoff,1852-08-30,1911-03-01,the Netherlands,male,1901,Chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
704,Fritz,Haber,1868-12-09,1934-01-29,Poland,male,1918,Chemistry,"""for the synthesis of ammonia from its elements"""
705,Sir Robert,Robinson,1886-09-13,1975-02-08,United Kingdom,male,1947,Chemistry,"""for his investigations on plant products of biological importance especially the alkaloids"""
706,Henri,Becquerel,1852-12-15,1908-08-25,France,male,1903,Physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"""
707,Wilhelm,Wien,1864-01-13,1928-08-30,Russia,male,1911,Physics,"""for his discoveries regarding the laws governing the radiation of heat"""
708,Max,Born,1882-12-11,1970-01-05,Poland,male,1954,Physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction"""
709,Eugene,Wigner,1902-11-17,1995-01-01,Hungary,male,1963,Physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles"""
710,Archer J.P.,Martin,1910-03-01,2002-07-28,United Kingdom,male,1952,Chemistry,"""for their invention of partition chromatography"""
711,Mario J.,Molina,1943-03-19,2020-10-07,Mexico,male,1995,Chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"""
712,Sir Harold,Kroto,1939-10-07,2016-04-30,United Kingdom,male,1996,Chemistry,"""for their discovery of fullerenes"""
713,Edgar,Adrian,1889-11-30,1977-08-08,United Kingdom,male,1932,Medicine,"""for their discoveries regarding the functions of neurons"""
714,Sir Nevill F.,Mott,1905-09-30,1996-08-08,United Kingdom,male,1977,Physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
715,Pierre-Gilles,de Gennes,1932-10-24,2007-05-18,France,male,1991,Physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers"""
716,Wendell M.,Stanley,1904-08-16,1971-06-15,USA,male,1946,Chemistry,"""for their preparation of enzymes and virus proteins in a pure form"""
717,Alfred,Fried,1864-11-11,1921-05-04,Austria,male,1911,Peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations"""
718,Fridtjof,Nansen,1861-10-10,1930-05-13,Norway,male,1922,Peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees"""
719,Albert,Lutuli,,1967-07-21,Zimbabwe,male,1960,Peace,"""for his non-violent struggle against apartheid"""
720,Oscar,Arias Sánchez,1940-09-13,,Costa Rica,male,1987,Peace,"""for his work for lasting peace in Central America"""
721,Paul,Heyse,1830-03-15,1914-04-02,Germany,male,1910,Literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories"""
722,Rabindranath,Tagore,1861-05-07,1941-08-07,India,male,1913,Literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West"""
723,Henrik,Pontoppidan,1857-07-24,1943-08-21,Denmark,male,1917,Literature,"""for his authentic descriptions of present-day life in Denmark"""
724,Knut,Hamsun,1859-08-04,1952-02-19,Norway,male,1920,Literature,"""for his monumental work <I>Growth of the Soil</I>"""
725,Elias,Canetti,1905-07-25,1994-08-14,Bulgaria,male,1981,Literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power"""
726,Naguib,Mahfouz,1911-12-11,2006-08-30,Egypt,male,1988,Literature,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"""
727,Kenzaburo,Oe,1935-01-31,,Japan,male,1994,Literature,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today"""
728,Milton,Friedman,1912-07-31,2006-11-16,USA,male,1976,Economics,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy"""
